G1GMP-2403-MONOMER	G1GMP-2403	Q8EDX4	uridine kinase Udk	Udk
G1GMP-79-MONOMER	G1GMP-79	Q8EKL4	predicted lipoprotein	
G1GMP-1002-MONOMER	G1GMP-1002	Q8EHX0	cytoplasmic ApbE family protein	
G1GMP-937-MONOMER	G1GMP-937	Q8EI39	NADH-ubiquinone oxidoreductase subunit L NuoL	NuoL
G1GMP-2199-MONOMER	G1GMP-2199	Q8EEH6	aspartate aminotransferase AspC	AspC
G1GMP-771-MONOMER	G1GMP-771	Q8EIL3	protein of unknown function DUF342	
G1GMP-455-MONOMER	G1GMP-455	Q8EJI6	sulfite reductase octaheme cytochrome c SirA	SirA
G1GMP-3366-MONOMER	G1GMP-3366	Q8EBB8	AAA ATPase family protein	
G1GMP-349-MONOMER	G1GMP-349	Q8EJU3	phosphotransferase enzyme family protein	
G1GMP-148-MONOMER	G1GMP-148	Q8EKD5	aminobenzoyl-glutamate transporter AbgT family	
G1GMP-116-MONOMER	G1GMP-116	Q8EKH4	periplasmic protein of unknown function DUF1090	
G1GMP-415-MONOMER	G1GMP-415	Q8EJN1	aconitate hydratase B	AcnB
G1GMP-1331-MONOMER	G1GMP-1331	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-2201-MONOMER	G1GMP-2201	Q8EEH4	glycine radical enzyme activase YjjW family	
G1GMP-2079-MONOMER	G1GMP-2079	Q8CME7	ISSod10 transposase TnpA ISSod10	TnpA
G1GMP-1213-MONOMER	G1GMP-1213	Q8EHB5	anhydro-N-acetylmuramic acid kinase AnmK	AnmK
G1GMP-526-MONOMER	G1GMP-526	Q8EJB2	bifunctional diguanylate cyclase/phosphodiesterase	
G1GMP-2514-MONOMER	G1GMP-2514	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-1599-MONOMER	G1GMP-1599	Q8EG64	polyolefin biosynthetic pathway AMP transfer protein OleC	OleC
G1GMP-2200-MONOMER	G1GMP-2200	Q8EEH5	glycine radical enzyme YjjI family	
G1GMP-4448-MONOMER	G1GMP-4448	Q8E879	phage integrase family site specific recombinase	
G1GMP-2202-MONOMER	G1GMP-2202	Q8EEH3	transcriptional regulator LysR family	
G1GMP-906-MONOMER	G1GMP-906	Q8EI74	hypothetical protein	
G1GMP-1394-MONOMER	G1GMP-1394	K4PW06	hypothetical protein	
G1GMP-3633-MONOMER	G1GMP-3633	Q8EAI8	TonB-dependent siderophore receptor	
G1GMP-3503-MONOMER	G1GMP-3503	Q8EAX0	inorganic phosphate transporter PiT family	
G1GMP-2945-MONOMER	G1GMP-2945	Q8ECH6	toxin-antitoxin system toxin HepN family	
G1GMP-4401-MONOMER	G1GMP-4401	Q8E8B1	chromosome partitioning protein ParA	ParA
G1GMP-1951-MONOMER	G1GMP-1951	Q8EF66	chemotaxis signal transduction system histidine kinase CheA	CheA
G1GMP-8-MONOMER	G1GMP-8	Q8EKT2	chromosomal replication initiator protein DnaA	DnaA
G1GMP-1082-MONOMER	G1GMP-1082	Q8EHP0	magnesium and cobalt efflux protein CorC	CorC
G1GMP-3756-MONOMER	G1GMP-3756	Q8EA49	sulfur reductase membrane anchoring component PhsC	PhsC
G1GMP-486-MONOMER	G1GMP-486	Q8EJF4	stop codon-independent peptidyl-tRNA hydrolyzing factor YaeJ	YaeJ
G1GMP-3068-MONOMER	G1GMP-3068	Q8EC51	inosine-5-monophosphate dehydrogenase GuaB	GuaB
G1GMP-3992-MONOMER	G1GMP-3992	Q8E9G2	Pal-like T1SS-linked outer membrane lipoprotein	
G1GMP-1765-MONOMER	G1GMP-1765	Q8EFQ6	putative chaperone for general secretion pathway YbaY	YbaY
G1GMP-1897-MONOMER	G1GMP-1897	Q8EFC0	outer membrane lipoprotein	
G1GMP-4108-MONOMER	G1GMP-4108	Q8E945	ABC-type molybdate uptake system substrate-binding component ModA	ModA
G1GMP-280-MONOMER	G1GMP-280	Q8EK16	protein of unknown function DUF2970	
G1GMP-1682-MONOMER	G1GMP-1682	Q8EFY3	putative outer membrane lipoprotein of unknown function DUF885	
G1GMP-2825-MONOMER	G1GMP-2825	Q8ECT0	methyl-accepting chemotaxis protein	
G1GMP-3203-MONOMER	G1GMP-3203	Q8EBR8	RNA polymerase sigma-38 factor RpoS	RpoS
G1GMP-772-MONOMER	G1GMP-772	Q8EIL2	lactate transport protein LctP family	
G1GMP-1332-MONOMER	G1GMP-1332	Q8EGZ7	bifunctional toxin-antitoxin system HepN family antidote fused to MNT family toxin	
G1GMP-1214-MONOMER	G1GMP-1214	Q8EHB4	family M23 zinc metallopeptidase with OapA domain	
G1GMP-207-MONOMER	G1GMP-207	Q8EK80	preprotein translocase subunit SecE	SecE
G1GMP-1826-MONOMER	G1GMP-1826	Q8EFJ4	pyridoxal-phosphate dependent eynzyme	
G1GMP-4555-MONOMER	G1GMP-4555	Q8CMJ3	ISSod4, transposase	
G1GMP-3367-MONOMER	G1GMP-3367	Q8EBB7	phosphoribosylglycinamide formyltransferase 2 PurT	PurT
G1GMP-2203-MONOMER	G1GMP-2203	Q8EEH2	bifunctional 3-phosphoserine aminotransferase/phosphohydroxythreonine SerC	SerC
G1GMP-2635-MONOMER	G1GMP-2635	Q8EDB0	transcriptional regulator of proline and 4-hydroxyproline utilization HypR	HypR
G1GMP-1747-MONOMER	G1GMP-1747	Q8EFS3	3-hydroxymethylglutaryl-CoA lyase LiuE	LiuE
G1GMP-641-MONOMER	G1GMP-641	Q8EIZ8	Mu phage protein of unknown function DUF1320	
G1GMP-2515-MONOMER	G1GMP-2515	Q8EDL0	outer membrane protein protein of unknown function DUF3187	
G1GMP-2204-MONOMER	G1GMP-2204	Q8EEH1	DNA gyrase subunit GyrA	GyrA
G1GMP-1635-MONOMER	G1GMP-1635	Q8EG25	inner membrane protein of unknown function DUF1282	
G1GMP-907-MONOMER	G1GMP-907	Q8EI73	putative cytoplasmic protein	
G1GMP-1441-MONOMER	G1GMP-1441	Q8EGN7	cytoplasmic glutathione peroxidase	
G1GMP-350-MONOMER	G1GMP-350	Q8EJU2	transport protein MFS superfamily	
G1GMP-3504-MONOMER	G1GMP-3504	Q8EAW9	SH3 domain protein	
G1GMP-2696-MONOMER	G1GMP-2696	Q8ED48	predicted nucleoside-diphosphate sugar epimerase YfcH	YfcH
G1GMP-3270-MONOMER	G1GMP-3270	Q8EBK7	glucosamine-6-phosphate deaminase NagB	NagB
G1GMP-1083-MONOMER	G1GMP-1083	Q8EHN9	rRNA maturation factor YbeY	YbeY
G1GMP-2015-MONOMER	G1GMP-2015	Q8EF06	outer membrane protein of unknown function DUF481	
G1GMP-3634-MONOMER	G1GMP-3634	Q8EAI7	chemotaxis signal transduction system CheY dephosphorylase CheX	CheX
G1GMP-2946-MONOMER	G1GMP-2946	Q8ECH5	dTDP-glucose-4,6-dehydratase RffG	RffG
G1GMP-4449-MONOMER	G1GMP-4449	Q8E878	phage integrase family site specific recombinase	
G1GMP-3757-MONOMER	G1GMP-3757	Q8EA48	sulfur reductase FeS subunit PhsB	PhsB
G1GMP-1862-MONOMER	G1GMP-1862	Q8EFF3	inosine-guanosine kinase Gsk	Gsk
G1GMP-4250-MONOMER	G1GMP-4250	Q8E8R1	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	
G1GMP-3069-MONOMER	G1GMP-3069	Q8EC50	exodeoxyribonuclease VII large subunit XseA	XseA
G1GMP-2205-MONOMER	G1GMP-2205	Q8EEG9	bifunctional 3-demethylubiquinone-9 3-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase UbiG	UbiG
G1GMP-3993-MONOMER	G1GMP-3993	Q8E9G1	T1SS associated periplasmic transglutaminase-like cysteine proteinase	
G1GMP-773-MONOMER	G1GMP-773	Q8EIL1	16S rRNA methyltransferase	RsmC
G1GMP-4109-MONOMER	G1GMP-4109	Q8E944	molybdenum cofactor biosynthesis protein E MoaE	MoaE
G1GMP-80-MONOMER	G1GMP-80	Q8EKL3	acetyltransferase	
G1GMP-2757-MONOMER	G1GMP-2757	Q8ECY9	Lambda phage uncharacterized protein	
G1GMP-2080-MONOMER	G1GMP-2080	Q8EET9	16 kDa heat shock protein A IbpA	IbpA
G1GMP-1333-MONOMER	G1GMP-1333	Q8EGZ6	putative cytoplasmic protein	
G1GMP-4402-MONOMER	G1GMP-4402	Q8E8B0	16S rRNA (guanine527-N7)-methyltransferase RsmG	RsmG
G1GMP-4316-MONOMER	G1GMP-4316	Q8E8J5	DNA polymerase I PolA	PolA
G1GMP-1003-MONOMER	G1GMP-1003	Q8EHW9	10 TMS drug/metabolite efflux pump (DME) family	
G1GMP-938-MONOMER	G1GMP-938	Q8EI38	NADH-ubiquinone oxidoreductase subunit K NuoK	NuoK
G1GMP-2826-MONOMER	G1GMP-2826	Q8ECS8	metallo-beta-lactamase family protein	
G1GMP-3835-MONOMER	G1GMP-3835	Q8E9V9	NAD(P)H:flavin oxidoreductase Sye3	
G1GMP-3903-MONOMER	G1GMP-3903	Q8E9P1	cell division protein FtsL	FtsL
G1GMP-3368-MONOMER	G1GMP-3368	Q8EBB6	protein of unknown function DUF3142	
G1GMP-3204-MONOMER	G1GMP-3204	Q8EBR7	lipoprotein NlpD	NlpD
G1GMP-1557-MONOMER	G1GMP-1557	Q8EGB1	FAD-binding protein	
G1GMP-1728-MONOMER	G1GMP-1728	Q8EFU3	surface lipoprotein with VCBS repeats	
G1GMP-1395-MONOMER	G1GMP-1395	Q8EGT1	protein of unknown function DUF1568	
G1GMP-2206-MONOMER	G1GMP-2206	Q8EEG8	2-phosphoglycolate phosphatase family	
G1GMP-416-MONOMER	G1GMP-416	Q8EJN0	regulator of sigma D Rsd	Rsd
G1GMP-1215-MONOMER	G1GMP-1215	Q8EHB3	tyrosyl-tRNA synthetase TyrS	TyrS
G1GMP-2516-MONOMER	G1GMP-2516	Q8EDK9	dethiobiotin synthase BioD	BioD
G1GMP-527-MONOMER	G1GMP-527	Q8EJB1	hypothetical protein	
G1GMP-9-MONOMER	G1GMP-9	Q8EKT1	DNA polymerase III beta subunit DnaN	DnaN
G1GMP-1084-MONOMER	G1GMP-1084	Q8EHN8	putative ATP-binding protein YbeZ	YbeZ
G1GMP-1518-MONOMER	G1GMP-1518	Q8EGF6	cold shock protein Csp family	
G1GMP-3505-MONOMER	G1GMP-3505	Q8EAW7	bifunctional proline dehydrogenase/delta-1-pyrroline-5-carboxylate dehydrogenase PutA	PutA
G1GMP-3304-MONOMER	G1GMP-3304	Q8CM19	ISSod7 transposase TnpA_ISSod7	TnpA
G1GMP-4556-MONOMER	G1GMP-4556		ISSod1, transposase OrfB	
G1GMP-3635-MONOMER	G1GMP-3635	Q8EAI6	alanine racemase biosynthetic Alr	Alr
G1GMP-2207-MONOMER	G1GMP-2207	Q8EEG7	aerobic ribonucleoside-diphosphate reductase alpha subunit NrdA	NrdA
G1GMP-2947-MONOMER	G1GMP-2947	Q8ECH4	DnaJ domain protein	
G1GMP-908-MONOMER	G1GMP-908	Q8EI72	disulphide interchange protein DsbD family	
G1GMP-281-MONOMER	G1GMP-281	Q8EK15	predicted periplasmic protein	
G1GMP-774-MONOMER	G1GMP-774	Q8EIK9	periplasmic alkaline phosphatase PhoA	PhoA
G1GMP-3758-MONOMER	G1GMP-3758	Q8EA47	sulfur reductase molybdoperterin-binding subunit PhsA	PhsA
G1GMP-4110-MONOMER	G1GMP-4110	Q8E943	molybdenum cofactor biosynthesis protein D MoaD	MoaD
G1GMP-4251-MONOMER	G1GMP-4251	Q8E8R0	high affinity tryptophan transporter Mtr	Mtr
G1GMP-3070-MONOMER	G1GMP-3070	Q8EC48	ISSod12 transposase TnpA_ISSod12	TnpA
G1GMP-1334-MONOMER	G1GMP-1334	K4PU06	Mu phage lytic protein AlpA	AlpA
G1GMP-3994-MONOMER	G1GMP-3994	Q8E9G0	bifunctional diguanylate cyclase/phosphodiesterase LasD-like protein	
G1GMP-2208-MONOMER	G1GMP-2208	Q8EEG6	aerobic ribonucleoside-diphosphate reductase beta subunit NrdB	NrdB
G1GMP-208-MONOMER	G1GMP-208	Q8EK79	transcription antitermination protein NusG	NusG
G1GMP-4317-MONOMER	G1GMP-4317	Q8E8J4	isoprenoid biosynthesis protein ElbB	ElbB
G1GMP-2827-MONOMER	G1GMP-2827	Q8ECS7	proline iminopeptidase Pip	Pip
G1GMP-3205-MONOMER	G1GMP-3205	Q8EBR6	protein-L-isoaspartate O-methyltransferase Pcm	Pcm
G1GMP-3369-MONOMER	G1GMP-3369	Q8EBB5	TPR repeat-containing protein	
G1GMP-4450-MONOMER	G1GMP-4450		hypothetical protein	
G1GMP-2209-MONOMER	G1GMP-2209	Q8EEG5	ferredoxin cofactor maintenance protein YfaE	YfaE
G1GMP-1789-MONOMER	G1GMP-1789	Q8EFN0	hypothetical protein	
G1GMP-149-MONOMER	G1GMP-149	Q8EKD3	phosphoenolpyruvate carboxykinase PckA	PckA
G1GMP-351-MONOMER	G1GMP-351	Q8EJU1	P-loop containing nucleotide triphosphate hydrolase	
G1GMP-2636-MONOMER	G1GMP-2636	Q8EDA9	3-oxoacyl-(acyl-carrier-protein) synthase III	
G1GMP-2517-MONOMER	G1GMP-2517	Q8EDK8	SAM-dependent methylase involved in biotin synthesis protein BioC	BioC
G1GMP-642-MONOMER	G1GMP-642	Q8EIZ7	Mu phage uncharacterized protein	
G1GMP-4403-MONOMER	G1GMP-4403	Q8E8A9	tRNA uridine 5-carboxymethylaminomethyl modification system MnmG	MnmG
G1GMP-775-MONOMER	G1GMP-775	Q8EIK8	ATP-dependent glutathione synthetase GshB	GshB
G1GMP-2697-MONOMER	G1GMP-2697	Q8ED47	sodium:glutamate symporter GltS	GltS
G1GMP-939-MONOMER	G1GMP-939	Q8EI37	NADH-ubiquinone oxidoreductase subunit J NuoJ	NuoJ
G1GMP-81-MONOMER	G1GMP-81	Q8EKL2	acyl-CoA thioester hydrolase, YbgC/YbaW family	
G1GMP-2210-MONOMER	G1GMP-2210	Q8EEG4	ISSod5 transposase TnpA_ISSod5	TnpA
G1GMP-2211-MONOMER	G1GMP-2211	Q8EEG3	NADP-dependent 24-dienoyl-CoA reductase FadH	FadH
G1GMP-3506-MONOMER	G1GMP-3506	Q8EAW6	protein of unknown function DUF2971	
G1GMP-2081-MONOMER	G1GMP-2081	Q8EET8	acetolactate synthase small subunit	IlvH
G1GMP-3759-MONOMER	G1GMP-3759	Q8EA45	pentapeptide repeat protein McbG	McbG
G1GMP-3636-MONOMER	G1GMP-3636	Q8EAI5	replicative DNA helicase DnaB	DnaB
G1GMP-909-MONOMER	G1GMP-909	Q8EI71	peroxiredoxin OhrA	OhrA
G1GMP-1335-MONOMER	G1GMP-1335	Q8EGZ5	hypothetical protein	
G1GMP-2948-MONOMER	G1GMP-2948	Q8ECH3	toxin-antitoxin system antidote transcriptional repressor Xre family	
G1GMP-1475-MONOMER	G1GMP-1475	Q8EGJ5	transcriptional regulator LysR family	
G1GMP-1216-MONOMER	G1GMP-1216	Q8EHB2	predicted periplasmic protein	
G1GMP-1600-MONOMER	G1GMP-1600	Q8EG63	polyolefin biosynthetic pathway dehydrogenase/isomerase OleD	OleD
G1GMP-4111-MONOMER	G1GMP-4111	Q8E942	molybdenum cofactor biosynthesis protein C MoaC	MoaC
G1GMP-2758-MONOMER	G1GMP-2758	Q8ECY8	Lambda phage uncharacterized protein	
G1GMP-3071-MONOMER	G1GMP-3071	Q8EC47	transcriptional regulator LysR family	
G1GMP-3370-MONOMER	G1GMP-3370	Q8EBB3	hypothetical protein	
G1GMP-3999-MONOMER	G1GMP-3999	Q8E9F9	bifunctional diguanylate cyclase/phosphodiesterase with GAF sensory domain	
G1GMP-528-MONOMER	G1GMP-528	Q8EJB0	protein GumN	GumN
G1GMP-2212-MONOMER	G1GMP-2212	Q8EEG2	signal peptide peptidase SppA	SppA
G1GMP-2828-MONOMER	G1GMP-2828	Q8ECS6	flavocytochrome c heme submit	
G1GMP-3904-MONOMER	G1GMP-3904	Q8E9P0	16S rRNA (cytosine1402-N4)-methyltransferase RsmH	RsmH
G1GMP-3836-MONOMER	G1GMP-3836	Q8E9V8	transcriptional regulator LysR family	
G1GMP-3206-MONOMER	G1GMP-3206	Q8EBR5	5'-nucleotidase SurE	SurE
G1GMP-10-MONOMER	G1GMP-10	Q8EKT0	DNA replication and repair protein RecF	RecF
G1GMP-1085-MONOMER	G1GMP-1085	Q8CX45	tRNA-N(6)-(isopentenyl)adenosine-37 thiotransferase enzyme MiaB	MiaB
G1GMP-1397-MONOMER	G1GMP-1397	Q8CLY6	ISSod25 transposase TnpA_ISSod25	TnpA
G1GMP-1952-MONOMER	G1GMP-1952	Q8EF65	chemotaxis signal transduction system adaptor protein CheW	CheW
G1GMP-4557-MONOMER	G1GMP-4557	Q0KHM5	hypothetical protein	
G1GMP-2213-MONOMER	G1GMP-2213	Q8EEG1	L-asparaginase I AnsA	AnsA
G1GMP-487-MONOMER	G1GMP-487	Q8EJF3	protein of unknown function DUF3478	
G1GMP-4451-MONOMER	G1GMP-4451	Q8E876	hypothetical protein	
G1GMP-417-MONOMER	G1GMP-417	Q8EJM8	uroporphyrinogen decarboxylase HemE	HemE
G1GMP-2518-MONOMER	G1GMP-2518	Q8EDK7	8-amino-7-oxononanoate synthase BioF	BioF
G1GMP-1683-MONOMER	G1GMP-1683	Q8EFY2	peptidyl-prolyl cis-trans isomerase PpiC	PpiC
G1GMP-643-MONOMER	G1GMP-643	Q8EIZ6	Mu phage uncharacterized protein	
G1GMP-910-MONOMER	G1GMP-910	Q8EI70	hydroperoxide resistance transcriptional regulator OhrR	OhrR
G1GMP-282-MONOMER	G1GMP-282	Q8EK14	ribulose-phosphate 3-epimerase Rpe	Rpe
G1GMP-776-MONOMER	G1GMP-776	Q8EIK7	16S rRNA (uracil(1498)-N(3))-methyltransferase	RsmE
G1GMP-2016-MONOMER	G1GMP-2016	Q8EF05	ribosomal protein S6 glutaminyl transferase RimK	RimK
G1GMP-2214-MONOMER	G1GMP-2214	Q8EEG0	protein of unknown function DUF1315	
G1GMP-3507-MONOMER	G1GMP-3507	Q8EAW5	integral membrane protein of unknown function DUF599	
G1GMP-1004-MONOMER	G1GMP-1004	Q8EHW8	transcriptional regulator AraC family	
G1GMP-3637-MONOMER	G1GMP-3637	Q8EAI4	periplasmic peptidase subfamily S1B	
G1GMP-209-MONOMER	G1GMP-209	Q8EK78	50S ribosomal protein L11 RplK	RplK
G1GMP-2949-MONOMER	G1GMP-2949	Q8ECH2	toxin-antitoxin system toxin HipA family	
G1GMP-1827-MONOMER	G1GMP-1827	Q8EFJ3	transcriptional repressor of nicotinamide riboside utilization NrtR	NrtR
G1GMP-3760-MONOMER	G1GMP-3760	K4PSK8	hypothetical protein	
G1GMP-3072-MONOMER	G1GMP-3072	Q8EC46	outer membrane beta barrel protein	
G1GMP-1932-MONOMER	G1GMP-1932	Q8EF85	predicted lipoprotein	
G1GMP-3371-MONOMER	G1GMP-3371	Q8EBB2	hypothetical protein	
G1GMP-2215-MONOMER	G1GMP-2215	Q8EEF9	hypothetical protein	
G1GMP-4000-MONOMER	G1GMP-4000	Q8E9F8	ATP-dependent DNA helicase Rep	Rep
G1GMP-1898-MONOMER	G1GMP-1898	Q8EFB9	membrane-anchored YbdH domain protein	
G1GMP-1558-MONOMER	G1GMP-1558	Q8EGB0	diguanylate cyclase with PAS sensory domain	
G1GMP-2829-MONOMER	G1GMP-2829	Q8ECS5	phenylalanine/histidine ammonia-lyase family protein	
G1GMP-940-MONOMER	G1GMP-940	Q8EI36	NADH-ubiquinone oxidoreductase subunit I NuoI	NuoI
G1GMP-1086-MONOMER	G1GMP-1086	Q8EHN7	hypothetical protein	
G1GMP-1636-MONOMER	G1GMP-1636	Q8CX43	tRNA-(MS(2)IO(6)A)-hydroxylase MiaE	MiaE
G1GMP-352-MONOMER	G1GMP-352	Q8EJU0	Fic family protein	
G1GMP-2216-MONOMER	G1GMP-2216	Q8EEF8	zinc carboxypeptidase domain protein	
G1GMP-3207-MONOMER	G1GMP-3207	Q8EBR4	tRNA pseudouridine13 synthase TruD	TruD
G1GMP-4112-MONOMER	G1GMP-4112	Q8E941	molybdenum cofactor biosynthesis protein A MoaA	MoaA
G1GMP-2637-MONOMER	G1GMP-2637	Q8EDA8	hypothetical protein	
G1GMP-1863-MONOMER	G1GMP-1863	Q8EFF2	NH(3)-dependent NAD(+) synthetase NadE	NadE
G1GMP-777-MONOMER	G1GMP-777	Q8EIK6	endonuclease I EndA	EndA
G1GMP-644-MONOMER	G1GMP-644	Q8EIZ5	Mu phage tape measure protein	
G1GMP-1217-MONOMER	G1GMP-1217	Q8EHB1	NTF2-like superfamily protein	
G1GMP-1442-MONOMER	G1GMP-1442	Q8EGN5	magnesium transporter MgtE family	
G1GMP-456-MONOMER	G1GMP-456	Q8EJI5	sulfurtransferase SirB	SirB
G1GMP-2217-MONOMER	G1GMP-2217	Q8EEF6	two component signal transduction system response regulator	
G1GMP-911-MONOMER	G1GMP-911	Q8EI69	aerobic glycerol-3-phosphate dehydrogenase GlpD	GlpD
G1GMP-2519-MONOMER	G1GMP-2519	Q8EDK6	biotin synthase BioB	BioB
G1GMP-2082-MONOMER	G1GMP-2082	Q8EET7	acetolactate synthase III large subunit IlvI	IlvI
G1GMP-82-MONOMER	G1GMP-82	Q8EKL1	glutathione-dependent formaldehyde-activating enzyme GfaB	GfaB
G1GMP-1520-MONOMER	G1GMP-1520	Q8EGF3	helicase/SNF2 family domain protein	
G1GMP-1336-MONOMER	G1GMP-1336	Q8EGZ4	protein of unknown function DUF3296 YagK	YagK
G1GMP-2698-MONOMER	G1GMP-2698	Q8ED46	signal peptidase I	
G1GMP-2218-MONOMER	G1GMP-2218	Q8EEF5	ArgR-regulated TonB-dependent receptor	
G1GMP-4252-MONOMER	G1GMP-4252	Q8E8Q9	glycerol-3-phosphate O-acyltransferase PlsB	PlsB
G1GMP-3373-MONOMER	G1GMP-3373	Q8EBA9	periplasmic protein of unknown function DUF3299	
G1GMP-3638-MONOMER	G1GMP-3638	Q8EAI2	periplasmic [Fe-Fe] hydrogenase large subunit HydA	HydA
G1GMP-3508-MONOMER	G1GMP-3508	Q8EAW4	DNA binding domain-containing protein	
G1GMP-4558-MONOMER	G1GMP-4558	Q8E813	hypothetical protein	
G1GMP-3271-MONOMER	G1GMP-3271	Q8EBK6	N-acetylglucosamine kinase NagK	NagK
G1GMP-1729-MONOMER	G1GMP-1729	Q8EFU2	short-chain dehydrogenases/reductases family protein	
G1GMP-4113-MONOMER	G1GMP-4113	Q8E940	electron transfer flavoprotein-ubiquinone oxidoreductase EtfQ	EtfQ
G1GMP-2950-MONOMER	G1GMP-2950	Q8ECH1	polysaccharide biosynthesis protein epimerase/dehydratase-like WbfY	WbfY
G1GMP-529-MONOMER	G1GMP-529	Q8EJA9	SAM-dependent methyltransferase SmtA	SmtA
G1GMP-2219-MONOMER	G1GMP-2219	Q8EEF3	Holliday junction DNA helicase RuvB	RuvB
G1GMP-3761-MONOMER	G1GMP-3761	Q8EA43	phosphoribosylaminoimidazole-succinocarboxamide synthase PurC	PurC
G1GMP-2759-MONOMER	G1GMP-2759	Q8ECY7	Lambda phage replication protein P	
G1GMP-3073-MONOMER	G1GMP-3073	Q8EC45	phenylalanine/histidine ammonia-lyase family protein	
G1GMP-1918-MONOMER	G1GMP-1918	Q8EF98	integration host factor alpha subunit IhfA	IhfA
G1GMP-4318-MONOMER	G1GMP-4318	Q8E8J3	intramembrane protease rhomboid family GlpG	GlpG
G1GMP-4001-MONOMER	G1GMP-4001	Q8E9F7	transcriptional repressor of multidrug/detergent efflux pump VexR	VexR
G1GMP-11-MONOMER	G1GMP-11	Q8EKS9	DNA gyrase B subunit GyrB	GyrB
G1GMP-1087-MONOMER	G1GMP-1087	Q8EHN6	2-octaprenyl-3-methyl-6-methoxy-14-benzoquinone hydroxylase UbiF	UbiF
G1GMP-2830-MONOMER	G1GMP-2830	Q8ECS4	flavocytochrome c flavin subunit	
G1GMP-1398-MONOMER	G1GMP-1398	Q8EGT0	hypothetical protein	
G1GMP-210-MONOMER	G1GMP-210	Q8EK77	50S ribosomal protein L1 RplA	RplA
G1GMP-4452-MONOMER	G1GMP-4452	Q8E875	prolyl oligopeptidase family protein	
G1GMP-3305-MONOMER	G1GMP-3305	Q8EBH3	outer membrane porin	
G1GMP-3905-MONOMER	G1GMP-3905	Q8E9N9	protein MraZ	MraZ
G1GMP-3837-MONOMER	G1GMP-3837	Q8E9V7	thiosulfate/tetrathionate-responsive two component signal transduction system histidine kinase TtrS	TtrS
G1GMP-3208-MONOMER	G1GMP-3208	Q8EBR3	2-C-methyl-D-erythritol 24-cyclodiphosphate synthase IspF	IspF
G1GMP-912-MONOMER	G1GMP-912	Q8EI67	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC	RumB
G1GMP-778-MONOMER	G1GMP-778		protein of unknown function DUF335 SprT	SprT
G1GMP-645-MONOMER	G1GMP-645	Q8EIZ4	Mu phage uncharacterized protein	
G1GMP-1790-MONOMER	G1GMP-1790	Q8EFM9	divalent cation (Mg2+, Co2+, Ni2+) transporter CorA	CorA
G1GMP-283-MONOMER	G1GMP-283	Q8EK13	2-phosphoglycolate phosphatase Gph	Gph
G1GMP-2017-MONOMER	G1GMP-2017	Q8EF04	protein of unknown function DUF413	
G1GMP-2220-MONOMER	G1GMP-2220	Q8EEF2	Holliday junction DNA helicase RuvA	RuvA
G1GMP-2520-MONOMER	G1GMP-2520	Q8EDK5	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	BioA
G1GMP-1218-MONOMER	G1GMP-1218	Q8EHB0	homotrimeric cation channel (TRIC) family protein YadS	YadS
G1GMP-4114-MONOMER	G1GMP-4114	Q8E939	energy taxis-modulating methyl-accepting chemotaxis protein with Cache_1 sensory domain	
G1GMP-3374-MONOMER	G1GMP-3374	Q8EBA8	periplasmic RmlC-type Cupin domain family protein	
G1GMP-2951-MONOMER	G1GMP-2951	Q8ECH0	galactosyl transferase WbfU	WbfU
G1GMP-3509-MONOMER	G1GMP-3509	Q8EAW3	cytoplasmic adenylate cyclase CyaB	CyaB
G1GMP-1005-MONOMER	G1GMP-1005	Q8CM19	ISSod7 transposase TnpA_ISSod7	TnpA
G1GMP-2221-MONOMER	G1GMP-2221	Q8EEF1	crossover junction endodeoxyribonuclease RuvC	RuvC
G1GMP-418-MONOMER	G1GMP-418	Q8EJM6	signalling protein with PAS GGDEF and EAL domains	
G1GMP-3639-MONOMER	G1GMP-3639	Q8EAI1	periplasmic [Fe-Fe] hydrogenase small subunit HydB	HydB
G1GMP-3762-MONOMER	G1GMP-3762	Q8EA41	hypothetical protein	
G1GMP-3074-MONOMER	G1GMP-3074	Q8EC44	flavocytochrome c heme submit	
G1GMP-4319-MONOMER	G1GMP-4319	Q8E8J2	thiosulfate sulfurtransferase GlpE	GlpE
G1GMP-941-MONOMER	G1GMP-941	Q8EI35	NADH-ubiquinone oxidoreductase subunit H NuoH	NuoH
G1GMP-150-MONOMER	G1GMP-150	Q8EKD2	redox regulated chaperone HslO	HslO
G1GMP-1088-MONOMER	G1GMP-1088	Q8EHN5	peptidyl-tRNA hydrolase Pth	Pth
G1GMP-4559-MONOMER	G1GMP-4559	Q0KHM4	hypothetical protein	
G1GMP-353-MONOMER	G1GMP-353	Q8EJT9	type III restriction-modification system restriction subunit Res	Res
G1GMP-4002-MONOMER	G1GMP-4002	Q8E9F6	RND-type multidrug/detergent efflux system MFP component VexB	VexB
G1GMP-914-MONOMER	G1GMP-914	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-117-MONOMER	G1GMP-117	Q8EKH3	outer membrane porin	
